# environment=00220 local_bs=0 gain_scale=1.314923188373e-13
# ue subcarrier serving_bs phi0 phi1 phi2 phi3 phi4 gain0 gain1 gain2 gain3 gain4
18 0 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 2.361050372330e+03 5.457228770816e+00 1.310854314550e+02 3.686573814525e+00 4.748126246799e-01
18 1 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 2.309141365395e+03 5.210039193376e+00 1.300153686870e+02 3.713725081885e+00 4.993500190429e-01
18 2 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 2.242916073397e+03 5.087697589191e+00 1.308531150083e+02 3.749540154265e+00 5.140396210451e-01
18 3 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 2.158326573520e+03 4.952618146576e+00 1.309051779819e+02 3.891390195839e+00 5.166910729184e-01
18 4 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 2.052848868005e+03 4.744434521231e+00 1.295815086957e+02 4.087827689274e+00 5.185077728085e-01
18 5 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.940757800235e+03 4.529436842922e+00 1.301132795558e+02 4.126570183137e+00 5.159232076117e-01
18 6 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.816601351966e+03 4.339687571990e+00 1.281569893594e+02 4.130734144438e+00 5.044548655746e-01
18 7 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.689234158182e+03 4.145499843214e+00 1.287943237725e+02 4.239588317660e+00 5.117214361810e-01
18 8 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.566012661251e+03 3.953986130760e+00 1.268256549211e+02 4.302190838506e+00 5.398018602596e-01
18 9 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.439335491003e+03 3.801882455596e+00 1.259181641454e+02 4.409668302884e+00 5.734663658776e-01
18 10 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.321426229581e+03 3.680188027136e+00 1.252273352009e+02 4.569511369549e+00 6.057002600028e-01
18 11 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.212589837263e+03 3.547007813498e+00 1.235624089097e+02 4.672806125772e+00 6.412042826767e-01
18 12 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.111043174179e+03 3.393247809322e+00 1.234693295918e+02 4.592005473275e+00 6.605080856951e-01
18 13 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.030151491126e+03 3.248121382871e+00 1.212186489807e+02 4.630057062874e+00 6.585942569959e-01
18 14 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 9.601590651813e+02 3.128392240936e+00 1.209674515304e+02 4.831676260091e+00 6.471842651228e-01
18 15 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 9.045178981921e+02 3.018037299333e+00 1.197636989744e+02 4.894545146561e+00 6.379514795421e-01
18 16 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 8.679477673746e+02 2.905566474580e+00 1.188490433119e+02 4.916517099038e+00 6.257811250392e-01
18 17 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 8.375558353876e+02 2.804847714082e+00 1.180013158739e+02 4.969360910931e+00 6.218680795271e-01
18 18 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 8.271523141147e+02 2.723018656691e+00 1.163469629488e+02 5.014138349565e+00 6.359607657749e-01
18 19 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 8.275065074020e+02 2.649153525266e+00 1.160598751507e+02 4.941510637091e+00 6.576249304732e-01
18 20 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 8.368607922683e+02 2.582543257077e+00 1.147309621563e+02 4.962203672113e+00 6.691370138394e-01
18 21 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 8.595773854852e+02 2.525121738873e+00 1.139337591648e+02 5.098044406773e+00 6.762480146941e-01
18 22 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 8.844904719358e+02 2.460551367085e+00 1.124949435764e+02 5.127433440956e+00 6.835424064756e-01
18 23 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 9.142808817169e+02 2.389825662787e+00 1.116690931520e+02 5.049954646842e+00 6.843290134518e-01
18 24 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 9.497125603905e+02 2.345041425804e+00 1.109181448830e+02 4.958264672172e+00 6.854600846327e-01
18 25 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 9.819151486867e+02 2.329173441322e+00 1.100557661160e+02 5.021684424563e+00 6.987216265432e-01
18 26 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.017778836295e+03 2.312546604396e+00 1.090797808142e+02 5.049453038164e+00 7.083177710093e-01
18 27 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.049392225103e+03 2.301223607929e+00 1.085794534185e+02 4.992915635890e+00 6.941979589195e-01
18 28 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.075139634149e+03 2.312264125719e+00 1.083581841274e+02 5.062199311990e+00 6.689206676126e-01
18 29 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.097539822873e+03 2.305903257032e+00 1.081003824415e+02 5.127143957072e+00 6.448129919224e-01
18 30 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.113468038086e+03 2.259645508854e+00 1.080015751363e+02 5.041354156250e+00 6.246287869837e-01
18 31 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.120554390996e+03 2.247310201430e+00 1.079539255969e+02 4.882367221687e+00 6.239875967267e-01
18 32 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.128592001462e+03 2.319598513174e+00 1.088417179040e+02 5.100032632252e+00 6.583173818344e-01
18 33 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.121502943925e+03 2.401149164105e+00 1.090237869838e+02 5.231942659332e+00 7.006290838961e-01
18 34 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.113391304567e+03 2.421375283719e+00 1.100523642317e+02 5.165086979244e+00 7.266445719270e-01
18 35 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.096676895419e+03 2.426867805289e+00 1.103230513811e+02 5.091828058236e+00 7.364657484360e-01
18 36 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.070783546750e+03 2.472136251874e+00 1.118425144676e+02 5.188135804221e+00 7.333318231850e-01
18 37 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.047520131977e+03 2.534187556673e+00 1.125929420195e+02 5.209501831737e+00 7.107398513069e-01
18 38 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 1.015366020246e+03 2.596512120365e+00 1.138449375165e+02 5.172766625105e+00 6.921489114502e-01
18 39 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 9.865200382988e+02 2.684303588995e+00 1.149111345598e+02 5.283205628001e+00 6.915527590108e-01
18 40 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 9.572796449863e+02 2.790223187097e+00 1.157426044552e+02 5.340059843851e+00 6.960412890559e-01
18 41 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 9.270220225069e+02 2.879512473700e+00 1.176253114649e+02 5.296958619839e+00 6.898173133701e-01
18 42 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 9.058070810367e+02 2.958551794755e+00 1.180545210754e+02 5.169412811498e+00 6.853171575185e-01
18 43 0 5.80309111 1.26803274 2.92492494 1.29495557 0.77553252 8.876115201201e+02 3.053623102371e+00 1.202186948116e+02 5.188937002038e+00 6.806485814907e-01
