# environment=00017 local_bs=4 gain_scale=9.674155220611e-14
# ue subcarrier serving_bs phi0 phi1 phi2 phi3 phi4 gain0 gain1 gain2 gain3 gain4
0 0 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 1.459567789717e+00 2.166977508108e-01 7.596834878824e-01 2.050325546823e+00 7.184092188010e+00
0 1 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 1.440711015958e+00 2.065150659450e-01 7.215432493552e-01 1.953709612247e+00 6.930111427110e+00
0 2 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 1.369809579125e+00 2.026964041520e-01 6.981809563222e-01 1.931321144326e+00 6.627983649964e+00
0 3 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 1.318605452911e+00 1.971222083894e-01 6.624749089629e-01 1.848781035838e+00 6.448367623166e+00
0 4 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 1.275624652993e+00 1.914109520101e-01 6.441717691284e-01 1.754020860173e+00 6.273667378674e+00
0 5 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 1.236459958712e+00 1.868281599512e-01 6.127738492532e-01 1.733438731913e+00 6.047990050251e+00
0 6 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 1.176053889503e+00 1.777124411734e-01 5.854672223707e-01 1.630689388245e+00 5.771212695305e+00
0 7 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 1.128920632782e+00 1.663340834762e-01 5.654513602483e-01 1.599756857299e+00 5.481075101491e+00
0 8 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 1.093194928448e+00 1.613424898496e-01 5.455248437101e-01 1.555558139740e+00 5.305811162583e+00
0 9 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 1.082742519389e+00 1.585131317461e-01 5.147404312581e-01 1.502323188771e+00 5.230980484665e+00
0 10 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 1.016325444850e+00 1.524831648308e-01 5.003862531161e-01 1.425295792258e+00 5.089568838618e+00
0 11 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 9.816872187512e-01 1.498191569327e-01 4.816780958042e-01 1.350560536592e+00 4.848801441654e+00
0 12 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 9.603591772990e-01 1.483822794867e-01 4.593522975386e-01 1.334713828602e+00 4.602297605248e+00
0 13 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 9.083474084162e-01 1.423428310875e-01 4.439044210358e-01 1.290795466116e+00 4.445508964660e+00
0 14 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 8.957596130826e-01 1.347934497424e-01 4.294966375567e-01 1.242347398744e+00 4.364106343259e+00
0 15 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 8.550911461454e-01 1.272295264664e-01 4.089556528033e-01 1.206297158564e+00 4.253176657882e+00
0 16 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 8.459064116596e-01 1.220578316300e-01 4.029996726098e-01 1.178440059887e+00 4.141430502861e+00
0 17 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 8.148278672238e-01 1.201941293718e-01 3.818374591739e-01 1.114921732020e+00 3.972023200660e+00
0 18 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 7.806071662089e-01 1.171844620888e-01 3.766065718402e-01 1.105846830447e+00 3.838201158329e+00
0 19 4 0.82613373 0.52177896 0.69310387 0.89899948 1.23371835 7.669045162546e-01 1.126158593387e-01 3.592447384936e-01 1.098075771549e+00 3.726887190965e+00
